Year,Alosa caspia,Alosa pontica,Alosa spp,Clupeonella cultriventris,Total
1950,0,2300,0,84400,86700
1951,0,3300,0,98400,101700
1952,0,2100,0,92200,94300
1953,0,2700,0,100300,103000
1954,0,1000,0,77900,78900
1955,0,1500,0,41500,43000
1956,0,2100,0,12200,14300
1957,0,1600,0,2500,4100
1958,0,2600,0,2800,5400
1959,0,2900,0,2300,5200
1960,0,1700,0,3600,5300
1961,0,2900,0,5600,8500
1962,0,1900,0,8700,10600
1963,0,1300,0,24100,25400
1964,0,1600,0,49500,51100
1965,0,3300,0,75800,79100
1966,0,4200,0,90900,95100
1967,0,2900,400,85400,88700
1968,0,1100,400,58100,59600
1969,0,1000,1500,8000,10500
1970,0,1502,967,128628,131097
1971,0,1107,717,76642,78466
1972,0,1004,253,95800,97057
1973,0,1652,711,90322,92685
1974,0,2803,781,47477,51061
1975,0,3742,1068,95587,100397
1976,0,1116,762,31668,33546
1977,0,709,595,29781,31085
1978,0,333,1454,80763,82550
1979,0,583,618,73925,75126
1980,0,494,645,77018,78157
1981,0,473,914,47418,48805
1982,0,1318,756,122567,124641
1983,0,788,796,120363,121947
1984,0,863,1222,88183,90268
1985,0,269,866,133152,134287
1986,0,81,1936,100826,102843
1987,0,128,2762,92149,95039
1988,0,309,1827,32057,34193
1989,0,422,2409,38203,41034
1990,0,103,2480,3075,5658
1991,0,27,3561,24557,28145
1992,0,114,3067,4737,7918
1993,0,86,5727,1809,7622
1994,0,35,5129,4939,10103
1995,0,126,2591,7805,10522
1996,0,131,2294,1448,3873
1997,0,82,1825,1522,3429
1998,0,153,2742,3496,6391
1999,0,48,2640,10862,13550
2000,0,15,2095,12006,14116
2001,0,21,2929,27777,30727
2002,0,112,3984,27239,31335
2003,0,68,2830,17743,20641
2004,0,115,3645,14538,18298
2005,0,125,3999,19373,23497
2006,0,59,4340,16323,20722
2007,0,71,5088,16975,22134
2008,0,110,5018,18308,23436
2009,0,150,4847,16870,21867
2010,0,141,4111,15449,19701
2011,0,153,3923,20786,24862
2012,0,92,3013,9290,12395
2013,0,111,2884,10467,13462
2014,0,95,3206,9826,13127
2015,0,157,3382,18012,21551
2016,6,213,1887,21820,23926
2017,1,235,1662,18785,20683
2018,3,312,1620,12620,14555
